ingredient_type,name,me,cp,lys,mc,meth,ee,cf,ca,p,dm
7,citruspulp,0,6.3,0.16,0.14,0.06,2.3,11.9,1.40,0.12,9.9
7,yeast (beer),2860,45.3,3.35,1.18,0.72,1.0,3.1,0.26,1.50,6.3
7,grassmeal (less than 16% c.p.),1010,13.7,0.64,0.36,0.26,3.2,25.4,0.49,0.31,8.5
7,grassmeal (more than 20% c.p.),1350,20.8,0.98,0.54,0.31,3.8,21.0,0.49,0.31,8.6
7,alfalfa meal (sundried),700,10.1,0.47,0.26,0.23,1.8,27.4,1.78,0.25,10.4
7,molasses (beet),1890,9.7,0.04,0.04,0.04,0,0,0.50,0.03,26.8
7,molasses (cane),1800,4.0,0.02,0.02,0.02,0,0,0.67,0.05,26.7
7,sugar,3900,0,0,0,0,0,0,0,0,0.1
7,soybean hulls,0,11.7,0.56,0.56,0.33,2.1,34.8,0.57,0.14,11.8
